,TractCode,CountBlocks,Consumer Blocks Served Any Pro,Consumer Blocks Served Any Pro 25mbps,Prop Served By Any,Prop Served By Any 25mbps
287,47037017300,121,116,116.0,95.87,95.87
288,47037017401,24,23,23.0,95.83,95.83
289,47037017402,47,47,47.0,100.0,100.0
290,47037017500,95,95,87.0,100.0,91.58
291,47037017701,41,35,35.0,85.37,85.37
292,47037017702,44,44,44.0,100.0,100.0
293,47037017800,71,69,69.0,97.18,97.18
294,47037017901,86,71,69.0,82.56,80.23
295,47037017902,43,43,42.0,100.0,97.67
296,47037018000,73,73,73.0,100.0,100.0
297,47037018101,48,48,46.0,100.0,95.83
298,47037018102,59,58,58.0,98.31,98.31
299,47037018201,54,54,54.0,100.0,100.0
300,47037018202,21,21,21.0,100.0,100.0
301,47037018203,36,36,36.0,100.0,100.0
302,47037018301,78,78,70.0,100.0,89.74
303,47037018302,46,45,35.0,97.83,76.09
304,47037018401,35,35,35.0,100.0,100.0
305,47037018404,31,30,30.0,96.77,96.77
306,47037018405,44,44,43.0,100.0,97.73
307,47037018407,24,24,24.0,100.0,100.0
308,47037018408,15,15,15.0,100.0,100.0
309,47037018409,60,60,59.0,100.0,98.33
310,47037018410,16,16,16.0,100.0,100.0
311,47037018500,105,102,101.0,97.14,96.19
312,47037018601,38,38,38.0,100.0,100.0
313,47037018602,57,57,57.0,100.0,100.0
314,47037018700,74,74,66.0,100.0,89.19
315,47037018801,93,88,88.0,94.62,94.62
316,47037018803,29,29,28.0,100.0,96.55
317,47037018804,29,29,29.0,100.0,100.0
318,47037018901,29,29,28.0,100.0,96.55
319,47037018902,33,33,33.0,100.0,100.0
320,47037018904,29,29,29.0,100.0,100.0
321,47037018905,15,15,15.0,100.0,100.0
322,47037019003,25,24,22.0,96.0,88.0
323,47037019004,32,32,32.0,100.0,100.0
324,47037019005,14,14,14.0,100.0,100.0
325,47037019006,33,29,29.0,87.88,87.88
326,47037019105,32,32,32.0,100.0,100.0
327,47037019106,21,21,21.0,100.0,100.0
328,47037019108,15,14,14.0,93.33,93.33
329,47037019109,27,27,26.0,100.0,96.3
330,47037019110,30,30,30.0,100.0,100.0
331,47037019111,25,25,24.0,100.0,96.0
332,47037019112,24,23,23.0,95.83,95.83
333,47037019114,117,117,115.0,100.0,98.29
334,47037019115,27,27,27.0,100.0,100.0
335,47037019116,19,19,19.0,100.0,100.0
336,47037019117,29,29,29.0,100.0,100.0
337,47037019118,16,16,16.0,100.0,100.0
338,47037019200,127,127,124.0,100.0,97.64
339,47037019300,86,81,41.0,94.19,47.67
340,47037019400,218,217,199.0,99.54,91.28
341,47037019500,414,364,230.0,87.92,55.56
342,47037019600,95,82,47.0,86.32,49.47
343,47037980100,32,20,10.0,62.5,31.25
344,47037980200,70,22,13.0,31.43,18.57
345,47039955001,180,177,73.0,98.33,40.56
346,47039955002,390,389,345.0,99.74,88.46
347,47039955101,159,159,113.0,100.0,71.07
348,47039955102,230,229,97.0,99.57,42.17
349,47041920101,107,107,102.0,100.0,95.33
350,47041920102,193,193,191.0,100.0,98.96
351,47041920200,264,264,264.0,100.0,100.0
352,47041920300,365,364,339.0,99.73,92.88
353,47043060100,79,79,8.0,100.0,10.13
354,47043060200,196,192,115.0,97.96,58.67
355,47043060300,193,193,158.0,100.0,81.87
356,47043060401,123,123,117.0,100.0,95.12
357,47043060402,186,185,132.0,99.46,70.97
358,47043060501,199,197,175.0,98.99,87.94
359,47043060502,134,134,123.0,100.0,91.79
360,47043060601,155,154,138.0,99.35,89.03
361,47043060602,229,221,184.0,96.51,80.35
362,47043060700,148,146,117.0,98.65,79.05
363,47045964000,397,397,278.0,100.0,70.03
364,47045964200,211,211,162.0,100.0,76.78
