,TractCode,Less_HS_Proportion_2015,HS_Proportion_2015,Some_College_Proportion_2015,Bachelors_Proportion_2015,Less_HS_Proportion_2017,HS_Proportion_2017,Some_College_Proportion_2017,Bachelors_Proportion_2017,Less_HS_Proportion_2019,HS_Proportion_2019,Some_College_Proportion_2019,Bachelors_Proportion_2019
804,47009010900,11.53,26.92,29.85,31.7,9.79,23.81,43.56,22.83,7.47,23.3,46.68,22.54
805,47009010800,21.04,43.04,23.91,12.01,24.74,47.62,20.45,7.18,27.29,43.3,22.07,7.34
806,47065011600,17.73,36.03,33.94,12.3,14.46,38.57,27.79,19.18,20.41,31.78,28.42,19.39
807,47065011402,15.07,25.08,42.03,17.81,8.15,32.62,40.0,19.23,6.69,36.32,42.32,14.67
808,47065011413,10.5,34.48,33.7,21.31,6.01,38.95,31.77,23.27,7.09,27.99,38.05,26.87
809,47065011314,10.68,21.71,31.24,36.36,9.75,21.44,32.23,36.58,8.05,20.46,31.97,39.52
810,47093006403,9.56,42.27,37.42,10.75,8.67,37.96,36.26,17.11,9.09,34.53,33.69,22.69
811,47093004609,10.19,21.14,32.18,36.49,11.6,27.48,25.67,35.24,9.55,28.95,30.67,30.83
812,47093005807,7.89,12.69,27.56,51.86,6.39,7.64,23.27,62.7,5.91,8.81,25.29,59.99
813,47093005809,2.22,10.22,23.57,64.0,2.93,12.63,19.49,64.95,2.44,13.44,16.32,67.8
814,47093004614,8.46,26.23,20.93,44.38,6.2,21.25,27.75,44.81,3.81,22.33,36.18,37.68
815,47093005709,5.43,16.77,31.81,45.98,2.62,15.32,25.25,56.81,5.33,7.13,26.78,60.76
816,47093005711,0.74,18.38,19.78,61.1,3.47,9.77,22.43,64.34,3.5,9.56,22.16,64.77
817,47167040602,20.18,36.34,31.41,12.07,17.66,40.43,24.99,16.92,16.09,40.84,22.98,20.08
818,47093006700,25.27,34.63,30.66,9.44,23.85,30.94,26.76,18.45,14.79,34.25,27.07,23.89
819,47039955102,11.08,55.67,22.0,11.25,11.75,53.29,27.08,7.88,9.33,45.97,30.69,14.01
820,47039955002,22.4,40.76,26.11,10.73,20.86,39.07,29.78,10.28,18.86,36.94,31.66,12.54
821,47053967400,15.15,46.05,22.14,16.66,19.49,39.82,26.08,14.62,17.37,48.82,22.41,11.4
822,47053980100,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
823,47167040302,8.34,29.74,41.19,20.72,5.51,29.33,40.66,24.5,2.81,28.94,40.04,28.21
824,47167040601,18.98,39.25,26.49,15.28,15.38,50.05,24.29,10.29,11.73,50.39,28.22,9.66
825,47167040700,21.96,46.0,19.95,12.09,25.7,38.32,24.56,11.42,19.78,35.61,30.97,13.63
826,47167040800,8.6,34.78,41.64,14.98,9.95,38.61,34.02,17.42,9.76,33.47,32.24,24.52
827,47179061602,7.35,33.84,36.16,22.65,7.75,34.66,35.55,22.05,6.94,34.53,34.06,24.47
828,47179061901,22.43,42.65,18.48,16.44,19.47,41.02,24.77,14.75,16.68,37.34,28.51,17.47
829,47179061402,8.34,24.79,24.52,42.35,9.1,25.39,20.77,44.75,11.66,23.07,21.85,43.42
830,47179060502,9.82,32.37,27.2,30.6,9.31,33.44,32.41,24.84,10.45,27.94,32.16,29.44
831,47179061601,8.56,24.22,33.21,34.02,6.17,32.21,29.85,31.78,5.21,31.7,31.61,31.49
832,47179061702,11.44,35.22,27.28,26.06,14.08,32.26,25.57,28.09,12.4,29.52,28.53,29.54
833,47179060501,16.19,31.95,29.93,21.93,10.93,34.21,32.01,22.85,11.67,37.04,29.28,22.01
834,47179061701,8.73,24.55,25.94,40.79,9.84,23.03,21.52,45.61,9.83,22.19,24.69,43.29
835,47179061401,9.36,31.88,28.05,30.72,6.4,27.29,29.87,36.44,7.28,27.41,29.54,35.77
836,47179061902,23.02,36.44,25.75,14.79,19.36,34.93,25.77,19.93,17.41,33.42,27.1,22.08
837,47179062000,18.41,24.67,25.56,31.37,13.0,33.84,24.21,28.95,8.2,36.19,29.05,26.56
838,47183968101,5.92,34.76,33.62,25.69,6.47,29.68,31.09,32.75,7.51,32.66,28.59,31.24
839,47157000700,20.85,29.3,29.98,19.86,18.04,22.16,34.85,24.94,19.57,26.4,35.89,18.14
840,47157000800,35.16,38.78,18.5,7.56,29.16,39.68,24.21,6.96,25.92,45.08,24.17,4.83
841,47157000900,25.06,35.99,32.59,6.36,33.69,28.4,28.1,9.81,31.66,34.29,26.52,7.53
842,47107970102,16.87,43.15,19.21,20.77,17.61,43.71,18.03,20.65,19.66,38.31,20.1,21.93
843,47107970101,23.13,43.91,18.35,14.61,19.99,44.69,19.78,15.54,15.78,40.24,25.97,18.02
