,TractCode,CountBlocks,Blocks With Choice,Blocks With Choice 3mbps,Blocks With Choice 12mbps,Blocks With Choice 25mbps,Prop With Choice,Prop With Choice 25mbps
140,47025970800,103,86.0,74.0,67.0,47.0,83.5,45.63
141,47025970900,300,182.0,176.0,159.0,156.0,60.67,52.0
142,47027955000,355,233.0,194.0,180.0,132.0,65.63,37.18
143,47027955100,155,105.0,72.0,66.0,42.0,67.74,27.1
144,47029920100,166,105.0,89.0,61.0,46.0,63.25,27.71
145,47029920200,314,244.0,210.0,186.0,155.0,77.71,49.36
146,47029920300,157,85.0,76.0,56.0,48.0,54.14,30.57
147,47029920400,43,5.0,2.0,1.0,1.0,11.63,2.33
148,47029920501,262,189.0,179.0,164.0,147.0,72.14,56.11
149,47029920502,203,118.0,103.0,64.0,58.0,58.13,28.57
150,47029920600,221,194.0,191.0,189.0,176.0,87.78,79.64
151,47029920700,374,183.0,108.0,71.0,71.0,48.93,18.98
152,47029980100,10,2.0,1.0,1.0,1.0,20.0,10.0
153,47031970100,132,73.0,73.0,62.0,45.0,55.3,34.09
154,47031970200,218,143.0,141.0,116.0,79.0,65.6,36.24
155,47031970300,60,32.0,32.0,17.0,7.0,53.33,11.67
156,47031970400,284,135.0,131.0,120.0,89.0,47.54,31.34
157,47031970500,155,126.0,122.0,99.0,93.0,81.29,60.0
158,47031970600,245,132.0,130.0,122.0,91.0,53.88,37.14
159,47031970700,218,166.0,166.0,139.0,115.0,76.15,52.75
160,47031970801,146,134.0,133.0,128.0,125.0,91.78,85.62
161,47031970802,389,219.0,215.0,207.0,202.0,56.3,51.93
162,47031970900,209,191.0,190.0,189.0,185.0,91.39,88.52
163,47031971000,222,218.0,215.0,213.0,213.0,98.2,95.95
164,47031980100,39,2.0,2.0,1.0,1.0,5.13,2.56
165,47033961000,102,56.0,53.0,5.0,5.0,54.9,4.9
166,47033961100,230,167.0,158.0,113.0,113.0,72.61,49.13
167,47033961200,194,101.0,98.0,46.0,26.0,52.06,13.4
168,47033961300,161,66.0,60.0,35.0,35.0,40.99,21.74
169,47033961400,213,111.0,103.0,59.0,35.0,52.11,16.43
170,47035970101,133,101.0,80.0,67.0,40.0,75.94,30.08
171,47035970102,366,300.0,200.0,132.0,71.0,81.97,19.4
172,47035970200,319,236.0,168.0,74.0,66.0,73.98,20.69
173,47035970301,193,128.0,78.0,34.0,31.0,66.32,16.06
174,47035970302,232,179.0,158.0,90.0,88.0,77.16,37.93
175,47035970400,314,252.0,231.0,213.0,188.0,80.25,59.87
176,47035970501,137,124.0,93.0,86.0,46.0,90.51,33.58
177,47035970502,183,159.0,150.0,146.0,140.0,86.89,76.5
178,47035970601,150,124.0,116.0,95.0,79.0,82.67,52.67
179,47035970602,235,196.0,188.0,161.0,109.0,83.4,46.38
180,47035970603,68,54.0,48.0,24.0,24.0,79.41,35.29
181,47035970701,116,94.0,86.0,74.0,39.0,81.03,33.62
182,47035970702,285,226.0,188.0,63.0,54.0,79.3,18.95
