,Minimally Served by Definition,TractCode
60350,False,47037012600
60493,False,47037012802
60621,False,47037013602
60657,False,47037013700
61015,False,47037014400
61346,False,47037015300
61563,False,47037015402
61691,False,47037015502
61865,False,47037015609
61911,False,47037015612
61998,False,47037015613
62168,False,47037015625
62253,False,47037015629
62341,False,47037015630
62445,False,47037015700
62548,False,47037016100
62820,False,47037016300
63046,False,47037016400
63240,False,47037016500
63453,False,47037016600
63667,False,47037016700
63909,False,47037016800
64197,False,47037016900
64597,False,47037017000
64900,False,47037017200
65168,False,47037017300
65440,False,47037017500
65702,False,47037017702
65806,False,47037017901
66068,False,47037017902
66198,False,47037018000
66429,False,47037018301
66603,False,47037018700
66833,False,47037018901
66941,False,47037019108
66977,False,47037019112
67054,False,47037019400
67526,True,47037980100
67616,True,47037980200
67717,False,47047060403
67972,False,47047060702
68222,False,47059090100
69262,False,47065000400
69682,False,47065001600
69786,False,47065003100
70250,False,47065011321
70414,False,47065011445
70713,False,47065011446
70904,False,47065012400
71342,False,47093002400
71679,False,47093002700
71899,False,47093005202
72094,False,47093005401
72278,False,47105060201
72696,False,47113000100
72942,False,47113000200
73463,False,47113000700
73841,False,47113001000
74010,False,47113001401
74254,False,47113001402
74540,False,47113001604
74771,False,47113001606
75134,False,47125101304
75379,False,47145030500
75805,False,47149040306
75898,False,47149040501
76048,False,47149040805
76267,False,47149040806
76510,False,47149040901
76740,False,47149040902
77049,False,47149041201
77208,False,47149041301
77420,False,47149041401
77472,False,47149041700
77755,False,47149041800
78087,False,47149041900
78213,False,47149042000
78377,False,47149042200
78679,False,47149042300
78936,False,47155081101
79349,False,47157001500
79472,False,47157001600
79608,False,47157001700
79844,False,47157002000
79970,False,47157002100
80195,False,47157002500
80441,False,47157002700
80610,False,47157003000
80790,False,47157003100
81071,False,47157003600
81305,False,47157003800
81389,False,47157003900
81489,False,47157004200
81972,False,47157004500
82041,False,47157005500
82281,False,47157005900
82524,False,47157006500
82651,False,47157007300
82756,False,47157008000
82967,False,47157008500
83185,False,47157008600
83467,False,47157009200
83837,False,47157009300
84078,False,47157009500
84456,False,47157009600
84825,False,47157009800
84989,False,47157009901
85199,False,47157010210
85393,False,47157010500
85504,False,47157010610
85729,False,47157010710
85944,False,47157010820
86096,False,47157011020
86214,False,47157011100
86359,False,47157011200
86494,False,47157011300
86740,False,47157011400
87178,False,47157011700
87541,False,47157011800
87760,False,47157020101
87867,False,47157020221
87982,False,47157020300
88165,False,47157020532
88412,False,47157020541
88664,False,47157020610
88887,False,47157020622
89130,False,47157020632
89422,False,47157020700
89492,False,47157020810
89557,False,47157020832
89868,False,47157021010
90337,False,47157021020
90514,False,47157021111
90721,False,47157021112
90935,False,47157021113
91143,False,47157021121
91334,False,47157021124
91526,False,47157021126
91657,False,47157021136
91875,False,47157021138
91971,False,47157021140
92179,False,47157021142
92328,False,47157021311
92638,False,47157021312
92743,False,47157021320
93025,False,47157021331
93190,False,47157021334
93282,False,47157021341
93557,False,47157021342
93998,False,47157021351
94240,False,47157021510
94450,False,47157021520
94916,False,47157021620
95213,False,47157021710
95310,False,47157021721
95448,False,47157021724
95568,False,47157021731
95676,False,47157021741
95893,False,47157021745
96098,False,47157021752
96194,False,47157021900
96379,False,47157022022
96704,False,47157022111
96937,False,47157022112
97164,False,47157022500
97582,False,47157022600
98240,False,47157022700
98453,True,47157980100
98588,True,47157980200
98635,True,47157980400
98666,False,47163040600
98924,False,47163040700
99119,False,47163043302
99952,False,47165020800
100249,False,47165021205
100436,False,47179060400
100844,False,47179060800
101141,False,47179061402
101492,False,47187050101
101760,False,47187050203
101923,False,47187050208
102136,False,47187050304
102507,False,47187050306
102613,False,47187050307
102862,False,47187050406
102967,False,47187050701
103128,False,47187050800
103578,False,47187050904
103772,False,47187050905
103927,False,47187050908
104077,False,47187051001
104418,False,47187051100
104814,False,47187051201
105091,False,47187051202
105712,False,47189030202
106233,False,47189030901
106512,False,47189030903
106874,False,47033961300
107087,False,47033961200
107354,False,47033961100
107966,False,47045964600
108472,False,47017962300
109027,False,47053967400
109485,False,47053966200
109936,False,47053966100
110349,False,47053966300
110479,False,47079969800
110776,False,47083120100
111240,False,47083120300
111585,False,47083120200
111953,False,47161110600
112129,False,47069950400
112556,False,47119010201
113169,False,47119010301
113606,False,47119010302
113939,False,47119010400
114705,False,47119010500
115344,False,47119010600
115922,False,47119010700
116424,False,47119010801
116704,False,47119010802
117406,False,47119010900
117687,False,47119011101
118190,False,47119011102
118450,False,47055920100
118819,False,47055920600
119238,False,47099960100
119717,False,47099960300
120263,False,47099960502
120680,False,47099960600
120980,False,47099960700
121220,False,47099960800
121469,False,47099960900
121730,False,47055920200
122300,False,47099960402
122826,False,47099960501
123501,False,47181950300
123793,False,47003950500
124526,False,47005963200
124587,False,47005963300
125184,False,47005963400
125556,False,47017962100
126350,False,47017962201
126760,False,47017962202
127136,False,47017962400
127234,False,47023970200
127694,False,47023970300
128163,False,47033961400
128546,False,47045964000
129567,False,47045964200
